,WTT,PTI,EQW,SBI,LQE,QWG,FDJ,PJF,HQE,NXJ,TARGET CLASS
0,0.9139173266,1.162072708,0.5679458537,0.755463896,0.7808615715,0.3526077229,0.759696914,0.6437975644,0.8794220914,1.231409437,1
1,0.6356319041,1.003721629,0.5353423518,0.825644846,0.9241089292,0.6484502367,0.6753343122,1.013545992,0.6215522154,1.492701605,0
2,0.721359808,1.201492624,0.9219897335,0.8555949834,1.526629388,0.7207808871,1.626350711,1.154483147,0.9578770229,1.285596793,0
3,1.234204402,1.386726291,0.6530463056,0.8256244453,1.14250354,0.8751279212,1.40970806,1.380002546,1.522692046,1.153093025,1
4,1.279490824,0.9497495573,0.6272800413,0.6689760819,1.232537304,0.7037274391,1.115595503,0.6466906982,1.463811751,1.419166577,1
5,0.8339278079,1.523302293,1.104742672,1.021138958,1.107377119,1.010929535,1.279537539,1.280676561,0.5103502607,1.528043672,0
6,0.9447053248,1.251761353,1.074885123,0.2864729977,0.9964395359,0.428860233,0.9108049814,0.7553047494,1.111800321,1.110842305,0
7,0.816173851,1.088392442,0.8953432762,0.2438595724,0.9431227442,1.045131278,1.146535991,1.3418855,1.22532404,1.425784074,0
8,0.7765506448,1.463812292,0.7838247604,0.3372779877,0.7422151578,1.072756126,0.8802998387,1.312950717,1.118165161,1.225921622,0
9,0.7722800984,0.5151114026,0.8915958818,0.9408615819,1.430568318,0.8858762897,1.205231321,0.596857714,1.542579617,0.9818794905,1
10,1.284999004,1.331017747,0.6189103132,0.6570167859,1.037190904,0.7173455688,0.7785005509,0.5993173609,1.245675868,1.441694553,1
11,1.064356245,1.414884526,0.8967976148,0.6290880447,1.447704295,0.7919232693,0.9216755593,1.237248899,0.5642809685,1.423668265,0
12,0.6829530447,1.254722718,0.9988704223,0.3977013956,1.011621496,0.5678626562,1.335119923,1.093735064,0.8470152782,1.374778584,0
13,0.9533179522,1.318986846,0.5629211795,0.905503014,1.248313546,0.677795128,1.01730492,0.5280651235,1.541711667,1.118960028,1
